id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34988693,BNBHolder SKY OF MADRID es MIA,28786243,Emilio,Centro,Universidad,40.42189,-3.70525,Entire home/apt,69,1,30,2020-03-01,2.63,68,200
34988982,EL Rastro Suite,15425191,Pat,Centro,Embajadores,40.40761,-3.70709,Private room,45,1,5,2020-03-15,0.67,1,163
34989786,Apartamento Antón Martín 1,263615216,Polaris,Centro,Embajadores,40.41069,-3.69847,Entire home/apt,59,7,30,2020-02-27,2.65,3,199
34990141,Champions League Final Madrid,68488856,Jacobo,Moncloa - Aravaca,Valdezarza,40.46145,-3.71081,Private room,600,1,0,,,1,365
34990295,Cosy Penthouse in Central Madrid,33054481,Nacho,Centro,Justicia,40.42072,-3.69791,Entire home/apt,161,2,2,2019-12-08,0.31,1,0
34990664,Cosy Private Room with Balcony (Madrid Centre),19293130,Kate,Centro,Justicia,40.42281,-3.69791,Private room,150,2,1,2019-06-02,0.09,1,88
34990851,Alquilo habitación sábados y domingos.madrid.,263625176,Nanyelis Mariam,San Blas - Canillejas,Simancas,40.43071,-3.6242,Private room,350,1,0,,,1,179
34990983,Your Best Experience Atocha-Sol,248621680,Andrea,Centro,Embajadores,40.4133,-3.70146,Entire home/apt,30,3,36,2020-03-08,3.11,4,315
34991186,"Espacio tranquilo con WiFi, cama matrimonio",101672611,Ana,Carabanchel,Comillas,40.39051,-3.71319,Private room,42,1,20,2020-02-29,1.71,1,90
34991464,Pleasant room for the FINAL CHAMPION.,263628900,Maria Del Carmen,Moratalaz,Marroquina,40.41216,-3.64923,Private room,400,1,0,,,1,363
34991565,Barrio Place,102947901,Claudia,Centro,Embajadores,40.40788,-3.70187,Entire home/apt,105,1,12,2020-03-15,1.07,236,206
34991694,Apartamento,263630113,Pilar,Ciudad Lineal,Costillares,40.47902,-3.6727,Entire home/apt,600,1,0,,,1,179
34991751,Apartamento Centro Madrid La Paloma,217726344,Red Piso,Centro,Palacio,40.4086,-3.71302,Entire home/apt,75,1,3,2019-10-13,0.26,6,61
34991945,Beautiful&LuxuryFor Championsleague!BernabéuStadiu,2987457,Maria,Tetuán,Castillejos,40.45874,-3.69648,Private room,55,1,1,2019-06-02,0.09,7,365
34992331,"2 private rooms, 24min walking distance from Wanda",263629685,Carlos,San Blas - Canillejas,Canillejas,40.44561,-3.60786,Private room,360,1,0,,,1,90
