preco,dormitorios,area,vagas,bairro,tipo
4230000,6,407.91,3,PedraRedonda, Casa
309000,2,63.01,1,Medianeira, Apartamento
244328,2,50.64,1,Farrapos, Apartamento
369000,1,35.59,1,Floresta, Loft
1400000,2,99.04,2,BelaVista, Apartamento
352192,1,29.81,0,CentroHistórico, Apartamento
420000,1,51.78,1,BoaVista, Apartamento
602243,2,56.54,1,JardimLindoia, Apartamento
309000,3,65.29,1,SantoAntônio, Apartamento
280900,2,53.5,1,JardimCarvalho, Apartamento
653132,2,80.18,1,Floresta, Apartamento
6500000,4,751.51,4,MontSerrat, Cobertura
615000,3,139.65,3,Tristeza, Casa
1250000,3,250.0,3,Sarandi, Casa
249000,2,51.25,1,Glória, Apartamento
250000,2,51.31,1,Sarandi, Apartamento
700000,2,86.0,2,Petrópolis, Apartamento
750000,3,138.97,2,Independência, Apartamento
450000,3,72.0,1,Camaquã, Apartamento
1600000,3,148.0,2,JardimEuropa, Apartamento
1190000,3,124.49,2,VilaJardim, Apartamento
340000,3,68.0,1,JardimCarvalho, Apartamento
1995000,3,161.79,3,MoinhosdeVento, Apartamento
440000,2,58.6,2,Tristeza, Apartamento
1413999,3,102.62,2,Petrópolis, Apartamento
373000,2,65.31,2,Tristeza, Apartamento
290000,2,56.95,1,Sarandi, Apartamento
1700000,4,262.07,4,MeninoDeus, Cobertura
540000,1,64.9,2,BelaVista, Apartamento
459000,2,95.26,1,MontSerrat, Apartamento
970000,3,137.0,3,Tristeza, Apartamento
690000,3,84.0,2,PassodaAreia, Apartamento
3285000,3,236.48,4,JardimEuropa, Apartamento
650000,3,86.96,1,Cristal, Apartamento
1500000,3,162.0,3,CentralParque, Apartamento
3420000,4,226.02,4,BelaVista, Apartamento
1430000,3,148.0,2,JardimEuropa, Apartamento
398000,2,50.61,1,Azenha, Apartamento
365000,2,65.52,1,VilaIpiranga, Apartamento
980000,3,239.0,3,Independência, Apartamento
934065,3,198.89,2,ProtásioAlves, Casa
429000,2,58.77,1,PassodaAreia, Apartamento
425000,1,64.0,1,JardimdoSalso, Loft
220000,2,46.0,1,Cristal, Apartamento
926000,2,165.0,1,MeninoDeus, Cobertura
350000,2,66.51,1,SantoAntônio, Apartamento
244447,2,50.64,1,Farrapos, Apartamento
630000,3,175.0,1,Hípica, Casa
219000,2,48.0,1,PassodasPedras, Apartamento
399000,3,310.65,2,MárioQuintana, Casa
390000,2,72.12,1,JardimSabará, Apartamento
499000,3,75.86,1,Sarandi, Apartamento
636616,2,78.85,2,CristoRedentor, Apartamento
399688,2,60.0,1,Glória, Apartamento
815192,2,108.75,2,CristoRedentor, Apartamento
389908,1,84.59,0,JardimBotânico, Loft
322099,2,57.0,1,BomJesus, Apartamento
3896550,3,519.54,4,BelaVista, Apartamento
1881152,3,145.36,3,Petrópolis, Apartamento
3986238,3,299.0,2,MontSerrat, Apartamento
1699000,3,250.62,2,BelaVista, Apartamento
386001,1,23.33,0,CentroHistórico, Flat
1211485,3,121.68,2,SantaCecília, Apartamento
478703,3,67.0,1,SãoJoão, Apartamento
2071000,3,163.45,2,BelaVista, Apartamento
799000,3,89.88,2,Petrópolis, Apartamento
399000,3,74.23,1,VilaIpiranga, Apartamento
600000,3,84.34,1,BoaVista, Apartamento
315000,2,67.65,1,JardimItu, Apartamento
639000,4,144.0,2,Sarandi, Casa
157500,2,48.41,1,Camaquã, Apartamento
595000,2,82.0,1,SãoGeraldo, Apartamento
750000,1,45.14,1,Petrópolis, Apartamento
420000,2,80.41,1,SantaCecília, Apartamento
400000,3,150.99,2,Cavalhada, Casa
320000,3,71.02,1,Cavalhada, Apartamento
615000,1,43.5,1,Cristal, Loft
585000,2,68.6,2,PassodaAreia, Apartamento
380000,3,67.54,2,Tristeza, Apartamento
280000,2,59.9,2,Teresópolis, Apartamento
669000,3,83.96,1,PassodaAreia, Apartamento
350000,2,68.0,1,Tristeza, Apartamento
550000,3,193.75,2,Cristal, Casa
1090000,5,400.0,4,VilaNova, Casa
299000,4,85.5,1,JardimItu, Casa
255000,2,48.32,1,JardimItu, Apartamento
280000,2,69.29,1,Humaitá, Casa
477000,2,54.82,1,PassodaAreia, Apartamento
385000,3,110.0,2,Hípica, Casa
1930000,3,147.0,3,RioBranco, Apartamento
330000,2,56.81,1,Sarandi, Apartamento
320000,2,67.71,1,JardimBotânico, Apartamento
1280000,3,125.5,2,MeninoDeus, Apartamento
480000,2,66.54,1,PassodaAreia, Apartamento
275000,2,48.46,1,Glória, Apartamento
3900000,3,393.08,2,Tristeza, Casa
389000,2,55.81,1,MeninoDeus, Apartamento
2900000,4,385.18,4,BoaVista, Casa
2090000,4,350.71,3,BelaVista, Cobertura
420000,2,150.94,1,JardimBotânico, Cobertura
475000,3,134.45,2,Cavalhada, Cobertura
380000,3,72.4,1,JardimCarvalho, Apartamento
279500,3,67.3,1,Humaitá, Apartamento
275000,2,56.59,1,JardimCarvalho, Apartamento
530000,1,65.0,1,MeninoDeus, Apartamento
1210000,3,99.61,2,MeninoDeus, Apartamento
440000,3,111.15,1,JardimSabará, Apartamento
490000,3,82.28,2,JardimLindóia, Apartamento
320000,2,56.2,1,Partenon, Apartamento
285000,2,52.18,1,JardimCarvalho, Apartamento
340000,1,44.46,1,CidadeBaixa, Apartamento
499400,2,131.48,1,Higienópolis, Cobertura
256000,2,58.0,1,VilaNova, Apartamento
1187000,3,134.61,2,PassodaAreia, Apartamento
1350000,4,140.0,2,Higienópolis, Apartamento
1350000,3,125.0,2,JardimEuropa, Apartamento
280000,2,59.93,1,Teresópolis, Apartamento
330000,3,63.56,1,Cristal, Apartamento
770000,3,134.45,2,Cavalhada, Cobertura
610000,3,94.0,1,MeninoDeus, Apartamento
320000,2,71.91,1,Partenon, Apartamento
597000,2,154.38,0,Ipanema, Cobertura
440000,3,93.4,1,JardimLindóia, Apartamento
280000,0,38.17,1,Auxiliadora, Sala
420000,2,99.19,1,Petrópolis, Cobertura
520000,3,74.67,1,PassodaAreia, Apartamento
530000,2,69.86,2,PassodaAreia, Apartamento
229000,2,57.37,1,Cavalhada, Apartamento
884071,3,102.46,2,"""PassodAreia", Apartamento
